priority,segment,name,region,email,phone,website,why_fit,utm_link,source_url,notes
2,dental_lab,올가이드 기공소,서울 금천구,klubung@naver.com,02-2646-2804,http://all-conec.com,"600평 규모 디지털 기반 치과기공소, 서지컬가이드 및 캐드 구인","https://dental-fit.vercel.app/?utm_source=allguide_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24886,"대형 디지털 기공소"
2,dental_lab,디지털갤러리,경북 포항,phdigital@naver.com,054-282-2884,,"3Shape 원스텝 보철 디자인 및 디지털 전문 기공소 명시","https://dental-fit.vercel.app/?utm_source=digital_gallery&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24139,"공고 상단 이메일과 본문 이메일이 달라 본문 지원 이메일 사용"
2,dental_lab,Smile 치과기공소,충남 당진,smiledentallab@naver.com,070-7576-2835,,"3Shape 디자인과 밀링기 사용, CAD/CAM 구인 이력","https://dental-fit.vercel.app/?utm_source=smile_dangjin_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24607,"JOB2804 공개 구인 연락처"
2,dental_lab,애프터치과기공소,서울 서초구,wnsvy5875@naver.com,02-2039-3532,,"exo와 3shape 지르 디자인 및 아답, 모델리스 포함 명시","https://dental-fit.vercel.app/?utm_source=after_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=23661,"JOB2804 공개 구인 연락처"
2,dental_lab,유스치과기공소,부산 북구,moomtoo@naver.com,010-2401-6833,,"CAD/CAM 보조, 적합, 컬러링 및 Exocad 우대 명시","https://dental-fit.vercel.app/?utm_source=youth_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24273,"JOB2804 공개 구인 연락처"
2,dental_lab,에스아이기공소,서울 서초구,05-sarang@hanmail.net,02-3472-2805,,"Exocad, 구강스캔, 디스크 체인저 밀링머신, 블럭 사용 명시","https://dental-fit.vercel.app/?utm_source=si_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24587,"강한 제품 적합도"
2,dental_lab,온치과기공소,경기 광명,sunjun28@naver.com,010-2046-4533,,"CAD/CAM 파트 보조 공개 구인 이력","https://dental-fit.vercel.app/?utm_source=on_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24489,"JOB2804 공개 구인 연락처"
2,dental_lab,신우치과기공소,전남 담양,un2273@naver.com,,,"Exocad, 모델리스, 밀링기 Dof Craft 5X와 바텍150i 사용 명시","https://dental-fit.vercel.app/?utm_source=shinwoo_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24421,"강한 제품 적합도"
2,dental_lab,원더플치과기공소,서울 강북구,wonderpl1@naver.com,070-8824-2275,http://wonderplant.kr,"원가이드, 기공장비 관리, 임플란트 보철 원스텝 제작 공고 다수","https://dental-fit.vercel.app/?utm_source=wonderplant_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=18773,"공개 구인 연락처"
2,dental_lab,Just Dental Lab,경남 밀양,kwkim4574@naver.com,010-5521-4574,,"CAD/CAM 전문기공소, 모델리스, 3shape, 건식/습식 밀링기 명시","https://dental-fit.vercel.app/?utm_source=just_dental_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24579,"강한 제품 적합도"
2,dental_lab,ROYDENT 치과기공소,서울 구로구,lifestyle23@naver.com,02-866-2804,http://www.roydent.net,"기업형 디지털 전문 치과기공소, 해외 업무, 디자인팀 운영 명시","https://dental-fit.vercel.app/?utm_source=roydent&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24134,"대형 기공소; 별도 young-dental 메일은 중복 발송 피하기"
2,dental_lab,디지털코어덴탈랩,부산 동래구,tjdwls2617@naver.com,010-3312-2617,,"디지털 기공, 지르코니아, All-on-X, 서지컬 가이드, CAD/CAM 업무 명시","https://dental-fit.vercel.app/?utm_source=digital_core_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24511,"본문 이메일 오타 가능성 있어 발송 전 확인 권장"
2,dental_lab,파트너스치과기공소 PDLab,대전 서구,bboram0213@naver.com,042-632-2239,http://www.pdlab.co.kr,"CAD/CAM 디자인, CAM 네스팅·밀링, Hyperdent·ApexMill 우대 명시","https://dental-fit.vercel.app/?utm_source=pd_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=17306,"강한 제품 적합도"
2,dental_lab,파트너스치과기공소 PDLab 보조연락처,대전 서구,ljh1194@nate.com,042-632-2239,http://www.pdlab.co.kr,"동일 PDLab의 공개 구인 연락처","https://dental-fit.vercel.app/?utm_source=pd_lab_2&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=17306,"같은 업체 중복 발송 피하기"
2,dental_lab,립라인스튜디오,광주 서구,lipline3@naver.com,062-385-2802,,"디지털 전문 치과기공소, 지르파트 구인 이력","https://dental-fit.vercel.app/?utm_source=lipline_studio&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=23778,"JOB2804 공개 구인 연락처"
2,dental_lab,제로투원치과기공소,부산 수영구,ztods@naver.com,051-936-0101,http://www.ztodc.com,"ALL ON X, 서지컬 가이드, CAM 가공, Scan, 글로벌 디지털 기공 솔루션 명시","https://dental-fit.vercel.app/?utm_source=zero_to_one_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24627,"강한 제품 적합도"
2,dental_lab,덴탈스케치 치과기공소,부산 동래구,ocean9873@naver.com,051-717-2842,,"CAD 3shape 디자이너, E-max 원스텝, 지르코니아 적합 구인 이력","https://dental-fit.vercel.app/?utm_source=dental_sketch&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=23759,"강한 제품 적합도"
2,dental_lab,탑치과기공소,전남 순천,omfslhb@naver.com,010-8314-7772,,"CAD/CAM, Exocad, 디지털 덴쳐 제작 경험 우대 명시","https://dental-fit.vercel.app/?utm_source=top_lab_suncheon&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24202,"JOB2804 공개 구인 연락처"
2,dental_lab,f&e 치과기공소,대구 중구,dj0pro@hanmail.net,053-421-9882,,"CAD/CAM 파트, 밀링기 가공과 커스텀 PMMA 작업 가능자 구인","https://dental-fit.vercel.app/?utm_source=fnE_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=20787,"JOB2804 공개 구인 연락처"
2,dental_lab,티제이 치과기공소,대구 북구,jinni0308@hanmail.net,010-7997-5553,,"캐드캠 분야 공개 구인 이력","https://dental-fit.vercel.app/?utm_source=tj_lab_daegu&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24320,"JOB2804 공개 구인 연락처"
2,dental_lab,제이덴 치과기공소,경북 경산,jden3541@nate.com,053-813-2833,,"CAD/CAM PART, SCAN 및 지르코니아 후가공 명시","https://dental-fit.vercel.app/?utm_source=jden_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24497,"JOB2804 공개 구인 연락처"
2,dental_lab,티핏치과기공소,서울 금천구,houn827@naver.com,02-2101-2084,https://www.teefitlab.com/,"3shape, exocad, 모델리스 60%, 아름 밀링기 5대, Hyperdent, ApexMill 명시","https://dental-fit.vercel.app/?utm_source=teefit_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24775,"강한 제품 적합도"
2,dental_lab,덴탈하이브,미확인,yoyodailo@naver.com,,,"CAD/CAM 및 디지털 기공 관련 공개 구인 검색 후보","https://dental-fit.vercel.app/?utm_source=dental_hive&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22yoyodailo%40naver.com%22+%22치과기공소%22,"발송 전 업체명/수신 목적 재확인"
2,dental_lab,지르카랩,미확인,zircarlab@naver.com,,,"지르코니아/CAD 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=zircar_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22zircarlab%40naver.com%22+%22치과기공소%22,"발송 전 확인 필요"
3,dental_lab,캐드피아 치과기공소,미확인,changmin4288@hanmail.net,,,"CAD/CAM 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=cadpia_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22changmin4288%40hanmail.net%22+%22치과기공소%22,"검증 필요"
3,dental_lab,K-Digital Lab,미확인,zirstar@naver.com,,,"디지털 기공/CAD 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=k_digital_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22zirstar%40naver.com%22+%22치과기공소%22,"검증 필요"
2,dental_lab,메이저51덴탈테크,세종,dpssptxm@nate.com,044-862-3600,,"EXOCAD, 3SHAPE, 풀케이스 및 모델리스 원스텝 디자인 명시","https://dental-fit.vercel.app/?utm_source=major51_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=23649,"강한 제품 적합도"
3,dental_lab,세연디지털랩,미확인,seyeondlab@naver.com,,,"디지털랩/CAD 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=seyeon_dlab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22seyeondlab%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,월드치과기공소,미확인,2800world@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=world_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%222800world%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,이끌림치과기공소,미확인,ikklim1147@naver.com,,,"CAD/CAM 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=ikleem_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22ikklim1147%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,미소치과기공소,미확인,sungruly@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=miso_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22sungruly%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,지르카디지털랩,미확인,sypark1123@hanmail.net,,,"지르코니아/CAD 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=zirca_digital&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22sypark1123%40hanmail.net%22+%22치과기공소%22,"검증 필요"
3,dental_lab,라인치과기공소,미확인,mspark_line@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=line_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22mspark_line%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,365서울탑 기공실,미확인,lucy1991@naver.com,,,"원내 기공실 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=365_seoul_top&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22lucy1991%40naver.com%22+%22치과기공%22,"검증 필요"
3,dental_lab,성심치과기공소,미확인,gonkks@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=sungsim_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22gonkks%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,부평더맑은 기공실,인천 부평,cleardental06@naver.com,,,"원내 기공실/디지털 보철 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=clear_dental_bupyeong&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22cleardental06%40naver.com%22+%22치과기공%22,"검증 필요"
3,dental_lab,더봄치과기공소,미확인,jijiy1018@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=thebom_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22jijiy1018%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,아산정플란트 기공실,충남 아산,asjungplant@naver.com,,,"임플란트/기공실 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=asjungplant&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22asjungplant%40naver.com%22+%22기공실%22,"검증 필요"
3,dental_lab,로댕치과기공소,미확인,rd2804@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=rodin_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22rd2804%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,아이브치과기공소,미확인,ivedental@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=ive_dental_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22ivedental%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,해와달치과기공소,미확인,hancue75@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=sun_moon_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22hancue75%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,태안경희 기공실,충남 태안,rudtnr5504@naver.com,,,"원내 기공실 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=taean_kh&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22rudtnr5504%40naver.com%22+%22치과기공%22,"검증 필요"
3,dental_lab,본치과기공소,미확인,sdh02sdh@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=bon_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22sdh02sdh%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,예온치과기공소,미확인,csh@ye-on.co.kr,,,"치과기공소/디지털 보철 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=yeon_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22csh%40ye-on.co.kr%22+%22치과기공%22,"검증 필요"
3,dental_lab,석플란트 기공실,서울,seokplant2804@naver.com,,,"임플란트/원내기공실 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=seokplant_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22seokplant2804%40naver.com%22+%22기공실%22,"검증 필요"
3,dental_lab,크림치과기공소,미확인,creamdental@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=cream_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22creamdental%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,플랜트치과기공소,미확인,plant0007@naver.com,,,"임플란트/기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=plant_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22plant0007%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,곰플란트 기공실,미확인,podoleeje1@naver.com,,,"임플란트/기공실 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=gomplant_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22podoleeje1%40naver.com%22+%22기공실%22,"검증 필요"
3,dental_lab,이즈치과기공소,미확인,loveisdent@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=isdent_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22loveisdent%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,뷰티앤디지털랩,미확인,beautyndigital1@naver.com,,,"디지털랩 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=beauty_digital_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22beautyndigital1%40naver.com%22+%22치과기공%22,"검증 필요"
3,dental_lab,석플란트 디지털팀,서울,jugun0921@naver.com,,,"임플란트/디지털 기공팀 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=seokplant_digital&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22jugun0921%40naver.com%22+%22기공%22,"검증 필요"
3,dental_lab,가이드치과기공소,미확인,guide288@naver.com,,,"서지컬가이드/기공 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=guide_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22guide288%40naver.com%22+%22치과기공%22,"검증 필요"
3,dental_lab,덴탈그룹 디지털랩,미확인,dentalgroup2023@naver.com,,,"디지털 기공 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=dentalgroup_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22dentalgroup2023%40naver.com%22+%22치과기공%22,"검증 필요"
3,dental_lab,석플란트 보조연락처,서울,dbwpwjd1984@naver.com,,,"석플란트 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=seokplant_2&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22dbwpwjd1984%40naver.com%22+%22치과기공%22,"같은 계열 중복 발송 피하기"
3,dental_lab,송도트리플 치과기공실,인천 송도,iranii@naver.com,,,"원내 기공실 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=songdo_triple_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22iranii%40naver.com%22+%22기공실%22,"검증 필요"
3,dental_lab,트리니티디지털랩,미확인,trinitydigitallab@naver.com,,,"디지털랩 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=trinity_digital_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22trinitydigitallab%40naver.com%22+%22치과기공%22,"검증 필요"
3,dental_lab,뉴프라임치과기공소,미확인,khlee5852@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=newprime_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22khlee5852%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,EPIC Lab,미확인,jake@epiclab.kr,,,"디지털 보철/기공 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=epic_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22jake%40epiclab.kr%22+%22치과기공%22,"검증 필요"
2,partner_or_lab,로이덴트 강남 원내기공실 연락처,서울 강남,young-dental@naver.com,,http://www.roydent.net,"ROYDENT 공고 내 강남 원내기공실 경리/기공물 관리 연락처","https://dental-fit.vercel.app/?utm_source=roydent_gangnam&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=24134,"ROYDENT와 중복 발송 피하기"
3,dental_lab,zest 치과기공소,대구 달성군,mdm2804@hanmail.net,010-7383-2805,,"캐드캠 원스텝 기사 구인 공개 후보","https://dental-fit.vercel.app/?utm_source=zest_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://job2804.com/employ_view.php?serial=21826,"검색 결과 이메일 형식 보정; 발송 전 확인"
3,dental_lab,샐라이너,미확인,shlee@saligner.com,,,"교정/디지털 보철 관련 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=saligner&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22shlee%40saligner.com%22+%22치과%22,"파트너 후보"
3,dental_lab,미니쉬테크놀로지,미확인,haejin.chung@minish.co.kr,,,"디지털 치과 보철/기공 네트워크 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=minish&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22haejin.chung%40minish.co.kr%22+%22치과%22,"파트너 후보"
3,dental_lab,윤디지털랩,미확인,zeros0614@naver.com,,,"디지털랩 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=yoon_digital_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22zeros0614%40naver.com%22+%22치과기공%22,"검증 필요"
3,dental_lab,원랩치과기공소,미확인,onelab2016@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=one_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22onelab2016%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,서울허브치과기공실,서울,hjiro@naver.com,,,"원내 기공실 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=seoul_hub_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22hjiro%40naver.com%22+%22기공실%22,"검증 필요"
3,dental_lab,백상하이엠치과기공소,미확인,dba68@naver.com,,,"치과기공소 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=baeksang_him&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22dba68%40naver.com%22+%22치과기공소%22,"검증 필요"
3,dental_lab,연세굿플란트 기공실,미확인,ysgoodlab@naver.com,,,"임플란트/원내 기공실 공개 검색 후보","https://dental-fit.vercel.app/?utm_source=yonsei_goodplant_lab&utm_medium=email&utm_campaign=pretotype_v1#signup",https://www.google.com/search?q=%22ysgoodlab%40naver.com%22+%22기공실%22,"검증 필요"
